Item,FN,MW,FT,WW,BS
Galil_AR_Tornado,776179,775276,774934,774937,774994
Galil_AR_Tuxedo,34968,34970,34969,34971,34967
Galil_AR_Urban_Rubble,34973,34975,34974,34976,34972
Galil_AR_Vandal,835835,835425,835546,835394,835608
Galil_AR_VariCamo,34978,34980,34979,34981,34977
Galil_AR_Winter_Forest,34983,34985,34984,34986,34982
Glock-18_Block-18,956497,956477,956516,956573,956510
Glock-18_Blue_Fissure,34993,34995,34994,34996,34992
Glock-18_Brass,34998,35000,34999,35001,34997
Glock-18_Bullet_Queen,779275,779293,779289,779186,779251
Glock-18_Bunsen_Burner,35003,35004,33832,35005,35002
Glock-18_Candy_Apple,35006,35008,35007,Null,Null
Glock-18_Catacombs,35010,35012,35011,35013,35009
Glock-18_Clear_Polymer,857532,857599,857549,857598,857524
Glock-18_Death_Rattle,Null,35016,35015,35017,35014
Glock-18_Dragon_Tattoo,35018,35019,Null,Null,Null
Glock-18_Fade,35020,35021,Null,Null,Null
Glock-18_Franklin,835647,835866,835789,835935,Null
Glock-18_Gamma_Doppler,871196,871063,871117,871334,871709
Glock-18_Grinder,35022,35024,35023,Null,Null
Glock-18_Groundwater,35026,35028,35027,35029,35025
Glock-18_High_Beam,762075,762201,Null,Null,Null
Glock-18_Ironwork,35031,35033,35032,35034,35030
Glock-18_Moonrise,45257,45259,45258,45260,45256
Glock-18_Neo-Noir,835906,835804,835745,835801,835843
Glock-18_Night,35036,35038,35037,35039,35035
Glock-18_Nuclear_Garden,762185,762119,762118,762202,762234
Glock-18_Off_World,35041,35043,35042,35044,35040
Glock-18_Oxide_Blaze,763294,763282,763247,763302,763296
Glock-18_Ramese's_Reach,927380,927352,927347,927363,927373
Glock-18_Reactor,35046,35048,35047,35049,35045
Glock-18_Red_Tire,871580,871286,871567,871321,871681
Glock-18_Royal_Legion,35051,35053,35052,35054,35050
Glock-18_Sacrifice,773717,773664,773611,773647,773627
Glock-18_Sand_Dune,35056,35058,35057,35059,35055
Glock-18_Snack_Attack,871746,871621,871542,871498,871555
Glock-18_Steel_Disruption,35060,35062,35061,Null,Null
Glock-18_Synth_Leaf,776585,776170,775714,776759,775186
Glock-18_Twilight_Galaxy,35063,35065,35064,Null,Null
Glock-18_Umbral_Rabbit,921455,921480,921462,921464,921471
Glock-18_Vogue,781610,781591,781541,781711,781653
Glock-18_Warhawk,759257,759207,759185,759258,759219
Glock-18_Wasteland_Rebel,35067,35069,35068,35070,35066
Glock-18_Water_Elemental,35072,35074,35073,35075,35071
Glock-18_Weasel,35077,35079,35078,35080,35076
Glock-18_Winterized,900604,900551,900493,900523,900569
Glock-18_Wraiths,35082,35084,35083,35085,35081
M249_Aztec,773741,773656,773631,773761,773707
M249_Blizzard_Marbleized,35107,35109,35108,35110,35106
M249_Contrast_Spray,35112,35114,35113,35115,35111
M249_Deep_Relief,835570,835466,835462,835476,835596
M249_Downtown,900466,900489,900478,900538,900517
M249_Emerald_Poison_Dart,35116,35118,35117,35119,Null
M249_Gator_Mesh,35121,35123,35122,35124,35120
M249_Humidor,871221,871232,871463,871593,871605
M249_Impact_Drill,35126,35128,35127,35129,35125
M249_Jungle,776114,774911,774954,774975,774824
M249_Jungle_DDPAT,35131,35133,35132,35134,35130
